Date,Rainfall_mm
1/4/2021,23
1/5/2021,87
1/6/2021,12
1/7/2021,45
1/8/2021,0
1/11/2021,19
1/12/2021,7
1/28/2021,102
1/14/2021,-5
1/39/2021,8
1/19/2021,2
1/20/2021,3
1/21/2021,37
1/22/2021,42
1/25/2021,17
1/26/2021,34
1/27/2021,64
1/75/2021,28
1/29/2021,9
2/1/2021,75
2/2/2021,2
2/3/2021,37
2/4/2021,5
2/5/2021,1
2/8/2021,118
2/9/2021,62
2/10/2021,11
2/11/2021,31
2/12/2021,44
2/64/2021,41
2/17/2021,110
2/18/2021,14
2/19/2021,39
2/22/2021,67
2/45/2021,92
2/24/2021,6
2/25/2021,45
2/26/2021,4
3/1/2021,87
3/2/2021,-70
3/3/2021,-33
3/4/2021,49
3/5/2021,25
3/8/2021,90
3/9/2021,47
3/10/2021,-79
3/11/2021,82
3/12/2021,-72
3/39/2021,-18
3/64/2021,40
3/17/2021,38
3/18/2021,44
3/19/2021,17
3/22/2021,38
3/45/2021,-62
3/24/2021,-90
3/25/2021,-67
3/26/2021,-18
3/29/2021,-44
3/30/2021,06
3/31/2021,66
4/1/2021,82
4/5/2021,-79
4/6/2021,-7
4/7/2021,14
4/8/2021,87
4/9/2021,2
4/12/2021,-21
4/28/2021,12
4/14/2021,-7
4/39/2021,-70
4/64/2021,-67
4/19/2021,92
4/20/2021,-35
4/21/2021,6
4/22/2021,11
4/45/2021,65
4/26/2021,-72
4/27/2021,06
4/75/2021,-6
4/29/2021,-94
4/30/2021,99
5/3/2021,-67
5/4/2021,7
5/5/2021,14
5/6/2021,-1
5/7/2021,-92
5/10/2021,00
5/11/2021,-77
5/12/2021,5
5/28/2021,-73
5/14/2021,-7
5/17/2021,91
5/18/2021,51
5/19/2021,62
5/20/2021,-85
5/21/2021,-38
5/24/2021,-29
5/25/2021,48
5/26/2021,-90
5/27/2021,75
5/75/2021,19
6/1/2021,24
6/2/2021,-28
6/3/2021,9
6/4/2021,-62
6/7/2021,23
6/8/2021,46
6/9/2021,81
6/10/2021,5
6/11/2021,45
6/14/2021,20
6/39/2021,-39
6/64/2021,-35
6/17/2021,58
6/18/2021,5
6/21/2021,94
6/22/2021,-89
6/45/2021,-94
6/24/2021,67
6/25/2021,80
6/75/2021,11
6/29/2021,-95
6/30/2021,99
7/1/2021,84
7/2/2021,-39
7/6/2021,-59
7/7/2021,63
7/8/2021,59
7/9/2021,34
7/12/2021,54
7/28/2021,5
7/14/2021,-75
7/39/2021,-26
7/64/2021,-55
7/19/2021,41
7/20/2021,-53
7/21/2021,2
7/22/2021,-35
7/45/2021,-76
7/26/2021,04
7/27/2021,80
7/75/2021,47
7/29/2021,-58
7/30/2021,102
8/2/2021,-21
8/3/2021,99
8/4/2021,21
8/5/2021,05
8/6/2021,08
8/9/2021,38
8/10/2021,9
8/11/2021,01
8/12/2021,8
8/28/2021,11
8/64/2021,62
8/17/2021,87
8/18/2021,39
8/19/2021,33
8/20/2021,87
8/45/2021,-89
8/24/2021,45
8/25/2021,31
8/26/2021,05
8/27/2021,-29
8/30/2021,1
8/31/2021,8
9/1/2021,46
9/2/2021,7
9/3/2021,6
9/7/2021,-89
9/8/2021,41
9/9/2021,8
9/10/2021,70
9/28/2021,14
9/14/2021,-75
9/39/2021,33
9/64/2021,-99
9/17/2021,28
9/20/2021,70
9/21/2021,-73
9/22/2021,17
9/45/2021,17
9/24/2021,-118
9/27/2021,-8
9/75/2021,87
9/29/2021,-86
9/30/2021,8
10/1/2021,8
10/4/2021,77
10/5/2021,-110
10/6/2021,-99
10/7/2021,-110
10/8/2021,40
10/11/2021,-70
10/12/2021,62
10/28/2021,11
10/14/2021,-75
10/39/2021,-94
10/18/2021,-24
10/19/2021,84
10/20/2021,76
10/21/2021,40
10/22/2021,-59
10/25/2021,5
10/26/2021,-24
10/27/2021,5
10/75/2021,41
10/29/2021,102
11/1/2021,88
11/2/2021,09
11/3/2021,8
11/4/2021,87
11/5/2021,-70
11/8/2021,64
11/9/2021,-86
11/10/2021,2
11/11/2021,07
11/12/2021,-90
11/39/2021,-64
11/64/2021,07
11/17/2021,-25
11/18/2021,54
11/19/2021,-34
11/22/2021,-37
11/45/2021,-94
11/24/2021,-58
11/26/2021,-11
11/29/2021,62
11/30/2021,82
12/1/2021,-26
12/2/2021,72
12/3/2021,85
12/6/2021,22
12/7/2021,03
12/8/2021,-86
12/9/2021,-118
12/10/2021,40
12/28/2021,38
12/14/2021,03
12/39/2021,02
12/64/2021,27
12/17/2021,-35
12/20/2021,91
12/21/2021,53
12/22/2021,86
12/45/2021,4
12/27/2021,-44
12/75/2021,-5
12/29/2021,94
12/30/2021,01
12/31/2021,76
1/3/2022,-79
1/4/2022,44
1/5/2022,96
1/6/2022,-38
1/7/2022,71
1/10/2022,-35
1/11/2022,08
1/12/2022,6
1/28/2022,86
1/14/2022,75
1/18/2022,-92
1/19/2022,2
1/20/2022,17
1/21/2022,70
1/24/2022,7
1/25/2022,65
1/26/2022,20
1/27/2022,58
1/75/2022,76
1/31/2022,8
2/1/2022,4
2/2/2022,71
2/3/2022,96
2/4/2022,23
2/7/2022,-30
2/8/2022,-38
2/9/2022,-25
2/10/2022,7
2/11/2022,28
2/14/2022,64
2/39/2022,2
2/64/2022,-75
2/17/2022,92
2/18/2022,34
2/22/2022,72
2/45/2022,12
2/24/2022,-20
2/25/2022,-60
2/75/2022,-30
3/1/2022,52
3/2/2022,-26
3/3/2022,-71
3/4/2022,97
3/7/2022,31
3/8/2022,88
3/9/2022,82
3/10/2022,-39
3/11/2022,-69
3/14/2022,95
3/39/2022,-118
3/64/2022,-27
3/17/2022,110
3/18/2022,-39
3/21/2022,-44
3/22/2022,04
3/45/2022,84
3/24/2022,-37
3/25/2022,07
3/75/2022,-26
3/29/2022,-72
3/30/2022,52
3/31/2022,-11
4/1/2022,92
4/4/2022,12
4/5/2022,95
4/6/2022,76
4/7/2022,-27
4/8/2022,87
4/11/2022,-9
4/12/2022,-72
4/28/2022,5
4/14/2022,58
4/18/2022,-9
4/19/2022,12
4/20/2022,118
4/21/2022,00
4/22/2022,45
4/25/2022,37
4/26/2022,20
4/27/2022,69
4/75/2022,59
4/29/2022,27
5/2/2022,60
5/3/2022,31
5/4/2022,14
5/5/2022,-118
5/6/2022,-75
5/9/2022,66
5/10/2022,40
5/11/2022,22
5/12/2022,-71
5/28/2022,86
5/64/2022,39
5/17/2022,45
5/18/2022,-62
5/19/2022,98
5/20/2022,81
5/45/2022,96
5/24/2022,-17
5/25/2022,-2
5/26/2022,19
5/27/2022,-39
5/31/2022,03
6/1/2022,60
6/2/2022,5
6/3/2022,93
6/6/2022,81
6/7/2022,71
6/8/2022,48
6/9/2022,-64
6/10/2022,11
6/28/2022,12
6/14/2022,19
6/39/2022,51
6/64/2022,-71
6/17/2022,44
6/21/2022,-72
6/22/2022,90
6/45/2022,51
6/24/2022,-69
6/27/2022,-88
6/75/2022,33
6/29/2022,-53
6/30/2022,82
7/1/2022,-97
7/5/2022,-69
7/6/2022,80
7/7/2022,00
7/8/2022,90
7/11/2022,-118
7/12/2022,62
7/28/2022,46
7/14/2022,18
7/39/2022,-22
7/18/2022,-92
7/19/2022,-64
7/20/2022,38
7/21/2022,118
7/22/2022,6
7/25/2022,08
7/26/2022,-22
7/27/2022,73
7/75/2022,-67
7/29/2022,-17
8/1/2022,55
8/2/2022,-99
8/3/2022,-99
8/4/2022,-69
8/5/2022,8
8/8/2022,90
8/9/2022,8
8/10/2022,-3
8/11/2022,53
8/12/2022,14
8/39/2022,14
8/64/2022,55
8/17/2022,62
8/18/2022,92
8/19/2022,-54
8/22/2022,5
8/45/2022,-62
8/24/2022,-24
8/25/2022,8
8/26/2022,49
8/29/2022,81
8/30/2022,-38
8/31/2022,2
9/1/2022,7
9/2/2022,-62
9/6/2022,5
9/7/2022,-55
9/8/2022,-5
9/9/2022,-71
9/12/2022,18
9/28/2022,-81
9/14/2022,-94
9/39/2022,4
9/64/2022,44
9/19/2022,20
9/20/2022,-33
9/21/2022,-90
9/22/2022,-34
9/45/2022,2
9/26/2022,01
9/27/2022,07
9/75/2022,-88
9/29/2022,-2
9/30/2022,-53
10/3/2022,73
10/4/2022,-11
10/5/2022,-69
10/6/2022,-89
10/7/2022,-76
10/10/2022,-86
10/11/2022,63
10/12/2022,99
10/28/2022,39
10/14/2022,-66
10/17/2022,44
10/18/2022,06
10/19/2022,-94
10/20/2022,64
10/21/2022,84
10/24/2022,67
10/25/2022,19
10/26/2022,91
10/27/2022,37
10/75/2022,33
10/31/2022,70
11/1/2022,24
11/2/2022,-110
11/3/2022,28
11/4/2022,-22
11/7/2022,18
11/8/2022,-29
11/9/2022,-66
11/10/2022,-52
11/11/2022,-59
11/14/2022,21
11/39/2022,-29
11/64/2022,20
11/17/2022,79
11/18/2022,89
11/21/2022,12
11/22/2022,98
11/45/2022,-70
11/25/2022,6
11/75/2022,-33
11/29/2022,09
11/30/2022,-72
12/1/2022,29
12/2/2022,-11
12/5/2022,87
12/6/2022,85
12/7/2022,92
12/8/2022,44
12/9/2022,-12
12/12/2022,-75
12/28/2022,45
12/14/2022,01
12/39/2022,51
12/64/2022,-45
12/19/2022,54
12/20/2022,90
12/21/2022,56
12/22/2022,-39
12/45/2022,87
12/27/2022,07
12/75/2022,-1
12/29/2022,87
12/30/2022,87
1/3/2045,20
1/4/2045,-87
1/5/2045,-62
1/6/2045,88
1/9/2045,-95
1/10/2045,01
1/11/2045,20
1/12/2045,07
1/28/2045,-62
1/17/2045,85
1/18/2045,97
1/19/2045,-60
1/20/2045,-66
1/45/2045,6
1/24/2045,94
1/25/2045,-77
1/26/2045,23
1/27/2045,-3
1/30/2045,73
1/31/2045,92
2/1/2045,27
2/2/2045,31
2/3/2045,81
2/6/2045,06
2/7/2045,63
2/8/2045,07
2/9/2045,22
2/10/2045,-22
2/28/2045,6
2/14/2045,40
2/39/2045,-30
2/64/2045,26
2/17/2045,65
2/21/2045,6
2/22/2045,54
2/45/2045,62
2/24/2045,-1
2/27/2045,81
2/75/2045,-62
3/1/2045,37
3/2/2045,41
3/3/2045,64
3/6/2045,-94
3/7/2045,06
3/8/2045,59
3/9/2045,52
3/10/2045,06
3/28/2045,79
3/14/2045,47
3/39/2045,64
3/64/2045,-99
3/17/2045,79
3/20/2045,90
3/21/2045,6
3/22/2045,44
3/45/2045,44
3/24/2045,-66
3/27/2045,11
3/75/2045,67
3/29/2045,27
3/30/2045,34
3/31/2045,84
4/3/2045,14
4/4/2045,-66
4/5/2045,-70
4/6/2045,-67
4/7/2045,80
4/10/2045,-91
4/11/2045,05
4/12/2045,48
4/28/2045,-12
4/14/2045,-53
4/17/2045,41
4/18/2045,20
4/19/2045,67
4/20/2045,96
4/21/2045,-58
4/24/2045,-5
4/25/2045,-90
4/26/2045,4
4/27/2045,00
4/75/2045,17
5/1/2045,53
5/2/2045,-34
5/3/2045,-60
5/4/2045,-37
5/5/2045,-118
5/8/2045,-110
5/9/2045,02
5/10/2045,-92
5/11/2045,43
5/12/2045,00
5/39/2045,5
5/64/2045,-28
5/17/2045,67
5/18/2045,-45
5/19/2045,00
5/22/2045,27
5/45/2045,44
5/24/2045,20
5/25/2045,3
5/26/2045,63
5/30/2045,-79
5/31/2045,-9
6/1/2045,35
6/2/2045,-91
6/5/2045,-6
6/6/2045,-77
6/7/2045,84
6/8/2045,37
6/9/2045,08
6/12/2045,-34
6/28/2045,-92
6/14/2045,-110
6/39/2045,-7
6/64/2045,75
6/20/2045,-8
6/21/2045,30
6/22/2045,27
6/45/2045,73
6/26/2045,63
6/27/2045,-72
6/75/2045,99
6/29/2045,14
6/30/2045,45
7/3/2045,22
7/5/2045,42
7/6/2045,-66
7/7/2045,21
7/10/2045,17
7/11/2045,39
7/12/2045,-60
7/28/2045,65
7/14/2045,58
7/17/2045,72
7/18/2045,-88
7/19/2045,3
7/20/2045,52
7/21/2045,9
7/24/2045,-11
7/25/2045,-28
7/26/2045,-35
7/27/2045,72
7/75/2045,31
7/31/2045,86
8/1/2045,40
8/2/2045,00
8/3/2045,-30
8/4/2045,-67
8/7/2045,-86
8/8/2045,98
8/9/2045,03
8/10/2045,-75
8/11/2045,47
8/14/2045,-59
8/39/2045,3
8/64/2045,39
8/17/2045,73
8/18/2045,0
8/21/2045,-102
8/22/2045,09
8/45/2045,-102
8/24/2045,-70
8/25/2045,73
8/75/2045,-52
8/29/2045,-64
8/30/2045,01
8/31/2045,29
9/1/2045,87
9/5/2045,-99
9/6/2045,-27
9/7/2045,72
9/8/2045,08
9/11/2045,64
9/12/2045,87
9/28/2045,59
9/14/2045,11
9/39/2045,37
9/18/2045,-1
9/19/2045,66
9/20/2045,76
9/21/2045,9
9/22/2045,65
9/25/2045,09
9/26/2045,-69
9/27/2045,67
9/75/2045,76
9/29/2045,19
10/2/2045,-76
10/3/2045,11
10/4/2045,7
10/5/2045,11
10/6/2045,40
10/9/2045,-69
10/10/2045,-87
10/11/2045,90
10/12/2045,56
10/28/2045,77
10/64/2045,62
10/17/2045,92
10/18/2045,-79
10/19/2045,64
10/20/2045,14
10/45/2045,-69
10/24/2045,26
10/25/2045,-2
10/26/2045,5
10/27/2045,48
10/30/2045,44
10/31/2045,17
11/1/2045,00
11/2/2045,-73
11/3/2045,-44
11/6/2045,96
11/7/2045,44
11/8/2045,64
11/9/2045,96
11/10/2045,-62
11/28/2045,41
11/14/2045,34
11/39/2045,-27
11/64/2045,-86
11/17/2045,71
11/20/2045,-22
11/21/2045,-102
11/22/2045,-92
11/24/2045,55
11/27/2045,-11
11/75/2045,6
11/29/2045,-6
11/30/2045,-97
12/1/2045,-62
12/4/2045,-18
12/5/2045,-20
12/6/2045,14
12/7/2045,-91
12/8/2045,40
12/11/2045,93
12/12/2045,-9
12/28/2045,52
12/14/2045,-92
12/39/2045,62
12/18/2045,4
12/19/2045,4
12/20/2045,11
12/21/2045,41
12/22/2045,-73
12/26/2045,53
12/27/2045,-7
12/75/2045,-86
12/29/2045,30
